Índice,Texto a Traducir
1_1,Requires
1_2, new batteries
2,Needs a match
3,Can only be taken at bedtime
4,Needs hot water
5,Hello
6,World
7_1,The pipes
7_2,under the wire mesh
7_3, aren't too close together; I could fit between them.
8,... Rattle... rumble... screech...
9_1,Upgrade your cell's cupboard to increase the number of storage compartments to
9_2, blablabla.
10_1,This is a
10_2,red
10_3, text.
11_1,Are you sure to start with
11_2, mode?
11_3,"After selecting, you won't be able to change this save data to the other modes."
12,Unaffiliated
13,Member
14,Lieutenant
15,Boss
16,Unaffiliated
17,Member
18,Lieutenant
19,Boss
